Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 217.895;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857
T1-L19B2;101.1;;;5;9.323;9.339;9.323;68.89;68.98;0.0014;0.0014;0.0455;0.0438;0.0437;0.3483;0.3365;0.344;175.6;177.5;8.193;8.357;0.3076;0.3049;0.3123;0.96;0.9383;0.9477;0.9752;0.9447;0.0495;0.4771;0.9882;0.9839;0.984;10.48;10.82;10.86;10.93;0.059;0.0549;0.0676
T1-P19B1;199.9;;;5;10;10.07;10.14;674.2;686.6;0.0035;0.0048;0.0549;0.0591;0.0588;0.3431;0.3222;0.3362;362.2;369;8.455;8.843;0.2845;0.2811;0.289;1.97;1.927;1.945;1.962;1.932;0.0252;0.9969;0.9631;0.9603;0.9594;7.666;7.839;7.902;7.859;0.076;0.0698;0.1008
T1-N19B1;188.9;;;5;6.891;7.053;7.069;868.7;876.6;0.0046;0.0038;0.0473;0.0522;0.0514;0.0589;0.0381;0.0512;408.6;410;11.55;12.1;0.318;0.3149;0.3236;1.055;1.009;1.018;1.026;1.009;0.0244;1.102;0.9611;0.9606;0.9616;10.65;10.99;11.05;11.06;0.1003;0.0963;0.1238
T1-F19B1;186.7;;;5;10.85;10.93;11.02;787.1;799.7;0.0027;0.0037;0.031;0.0323;0.0299;0.0823;0.0696;0.0789;245.7;246.9;4.896;4.998;0.1757;0.1711;0.1775;1.006;0.9774;0.9779;1.006;0.9742;0.0234;0.649;0.9862;0.9795;0.9806;10.07;10.38;10.45;10.48;0.0472;0.0441;0.0607
T1-P19B2;191.7;;;5;10.09;10.26;10.34;657.5;674;0.0038;0.0039;0.0607;0.0659;0.0631;0.2852;0.2653;0.2816;412.9;407.5;9.843;9.771;0.3174;0.3118;0.3237;1.767;1.704;1.729;1.741;1.694;0.0334;1.128;0.9836;0.9751;0.9725;9.72;10.01;10.12;10.09;0.0877;0.0813;0.1084
T1-F19B2;189.7;;;5;10.19;10.42;10.52;826.8;846.9;0.0026;0.0043;0.0279;0.0291;0.0272;0.078;0.0542;0.0634;238;235.1;5.716;5.583;0.1934;0.1877;0.197;0.6265;0.5956;0.6015;0.6151;0.5885;0.0215;0.641;0.9762;0.9694;0.9632;10.04;10.34;10.41;10.45;0.0517;0.0483;0.0592
T1-L19B1;185;;;5;14.8;15;14.83;118.3;119.7;0.0025;0.0011;0.0758;0.0744;0.0757;0.54;0.5218;0.54;287;285.3;13.76;13.04;0.5022;0.4904;0.5098;1.666;1.61;1.634;1.653;1.593;0.0862;0.8396;1.052;1.033;1.036;12.05;12.44;12.56;12.69;0.0847;0.0767;0.0936
T1-N19B2;189.7;;;5;6.802;7.03;7.131;831;854.4;0.0046;0.0038;0.0515;0.0584;0.052;0.0458;0.024;0.0381;406;398.2;9.229;8.77;0.3112;0.3019;0.3168;1.211;1.144;1.162;1.185;1.137;0.0225;1.133;1.053;1.031;1.033;10.02;10.28;10.39;10.46;0.0855;0.0802;0.1004
T1-19B2;187.1;;;5;36.16;36.53;35.87;191.2;188.2;0.0117;0;0.121;0.1477;0.1589;1.382;1.297;1.339;1652;1473;24.18;23.59;1.018;0.9793;1.023;3.085;2.876;2.956;2.937;2.864;0.0995;3.652;1.056;1.028;1.035;5.421;5.432;5.759;5.459;0.1179;0.0908;0.1852
T1-19B1;197.7;;;5;35.3;35.65;34.94;151.2;153.3;0.0135;0.0009;0.1093;0.1393;0.1543;1.028;0.9403;0.9917;1883;1694;23.94;23.32;0.9028;0.8708;0.909;2.911;2.684;2.775;2.767;2.676;0.1077;4.191;1.07;1.041;1.048;9.441;9.592;9.98;9.707;0.1219;0.0948;0.2015
T1-F19D11;182.9;2.2295;;5;12.35;12.68;12.78;321.7;309.3;0.0159;0.0114;0.5242;0.5114;0.5187;7.088;6.914;7.018;178.9;174.7;2.676;2.444;0.1953;0.1872;0.1969;20.26;19.27;20.04;19.91;19.28;0.0381;0.5108;1.076;1.048;1.042;8.983;9.184;9.269;9.356;0.2019;0.128;0.2223
T1-F19D12;183.8;2.2295;;5;12.54;12.92;13.01;322.5;311;0.0163;0.0113;0.5284;0.518;0.5215;7.054;6.865;6.978;179.3;174.9;2.766;2.515;0.1933;0.1843;0.1946;20.79;19.93;20.49;20.47;19.72;0.0438;0.5109;1.069;1.039;1.038;8.821;9.006;9.105;9.176;0.2016;0.1262;0.2235
T1-F19D21;186;1.992;;5;22.38;23.08;22.67;556.6;581.7;0.0188;0.0134;0.5011;0.4928;0.4979;7.03;6.863;7.002;220.1;210.5;3.391;3.084;0.2449;0.2319;0.2455;17.65;16.73;17.38;17.21;16.46;0.107;0.6713;1.03;0.9951;0.9894;10.18;10.4;10.53;10.6;0.1273;0.0527;0.1498
T1-F19D22;187.6;1.992;;5;24.4;25.3;24.82;607;638.8;0.0204;0.0144;0.555;0.5496;0.5468;7.585;7.313;7.486;239.4;228.6;3.832;3.482;0.2706;0.2523;0.269;19.41;18.02;19.05;19.07;18.04;0.1197;0.741;0.9961;0.9615;0.9528;10.24;10.43;10.6;10.66;0.1515;0.0675;0.1712