name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi
T2-1A1;728;260.9329879;57.87833333;25.97219491;3.6775;1.042982502;53136.66667;4234.15084;2244.166667;33.15242575
T2-1A2;295.7833333;256.5100599;11.64333333;6.480598609;1.23;0.268700577;11196.66667;237.5043859;445.6333333;5.042403527
T2-2A1;290.7166667;252.0432222;11.495;6.83239892;2.97;0.28991378;11791.66667;302.8751118;449.95;3.659234893
T2-2A2;307.2;266.2384645;12.61833333;6.420483497;1.01;0.275771645;11980;325.5380162;475.45;4.311902132
T2-3A1;72.76666667;63.06158366;2.293666667;1.347272182;0.103;0.053740115;2279.333333;48.18021724;88.72666667;0.783985544
T2-F2A11;143.6333333;248.780231;0.383;0.332449996;0.0555;0.078488853;8927.666667;731.7966475;17.82;0.121243557
T2-F2A12;138.3;239.5426267;0.360666667;0.312616911;0.0545;0.077074639;8565.333333;738.7017892;17.15333333;0.130128142
T2-F2A21;139.0666667;240.8705323;0.596666667;0.517285543;0.0565;0.079903066;10853;1299.163962;26.27;0.158745079
T2-F2A22;141.2;244.565574;0.620666667;0.53840629;0.0565;0.079903066;11006;1325.86123;26.7;0.18734994
T2L1A11;121.3;105.0902945;7.82;6.776223137;54.275;2.142533547;20083.33333;5482.46599;358.1;5.23736575
T2L1A12;142.9;124.1705682;7.923333333;6.863558358;54.78;2.050609665;20100;5393.115982;361.5666667;4.798263575
T2L1A21;185.5333333;162.0691313;7.776666667;6.762812531;101.605;3.811305551;20760;6097.925877;351;5.109794516
T2L1A22;210.5666667;184.7188224;8.58;7.465299726;114.1;3.818376618;21816.66667;6141.053113;386.5;6.244997998
T2-L2A11;212.4666667;368.0030616;10.36666667;8.979406068;60.025;1.986970055;23513.33333;6177.672161;477;6.655073253
T2-L2A12;206.7666667;358.130372;10.67666667;9.252698705;62.455;2.001112191;24936.66667;6269.260988;498.5333333;7.057147677
T2-L2A21;144.3;249.9349315;9.586666667;8.302899092;65.03;1.81019336;19710;5577.427723;443.3333333;7.715136637
T2-L2A22;152.7;264.4841583;10.16666667;8.805409322;67.325;1.774838021;23276.66667;5966.174095;471.3;6.846166811
T2-L3B1A1;165.7666667;287.1162889;8.413333333;7.286222158;85.96;1.951614716;25936.66667;6955.029355;383.5;5.766281297
T2-L3B2A1;306.2333333;267.9500016;8.01;6.940842888;91.005;1.619274529;24806.66667;6836.595156;362.9333333;5.128677542
T2-L3P3C1A11;164.2333333;284.4604776;1.232;1.08235484;0.04;0.056568542;17883.33333;4086.689777;21.04;0.255342907
T2-L3P3C1A12;194.1;336.1910617;3.922;3.433741254;0.057;0.080610173;23553.33333;5732.724774;26.38;0.357631095
T2-L3P3C2;174.0666667;301.4923106;1.544;1.449673067;0.0655;0.092630988;20543.33333;5178.864097;1.052666667;0.160830138
T2-L3P3C3A1;169.8;294.1022271;2.151333333;1.942595257;0.1195;0.168998521;21150;5207.869046;1.841333333;0.21014836
T2-L3P3F3A1;166.6;288.5596645;3.059666667;2.668230187;0.043;0.060811183;20356.66667;4998.303045;45.45666667;0.487886599
T2-L4A1;515.1057402;892.1893133;17.35649547;15.03869563;187.1601208;2.34990169;46183.28298;12596.05289;795.8710977;11.73428573
T2-L4A2;666.1120685;1153.739946;25.1827203;21.81995403;301.6221998;7.563088752;66409.17464;17280.77361;1166.260622;19.43837514
T2-L4P4A1;215.5666667;373.3724191;5.180666667;4.53857966;0.1595;0.225567063;20770;5455.859236;110.0333333;1.05039675
T2-L4P4A2;227.5666667;394.1570288;5.315;4.639260609;0.0865;0.122329473;21656.66667;5380.170381;109.8333333;0.808290377
T2-L4P4F4C4A1;234.4333333;406.0504443;4.631;4.052214333;0.045;0.06363961;19700;5286.501679;119.4666667;1.342882472
T2-L4P4F4C4A2;194.4333333;336.768412;3.889;3.382439504;0.041;0.057982756;18893.33333;4673.6745;102.1;0.818535277
T2-L4P4F4C4N3A1;201;348.1422123;0.015333333;0.00305505;0.088;0.009899495;65.40666667;0.765136153;0.158;0.003605551
T2-L4P4F4C4N3A2;208.7666667;361.5944736;0.009;0.002;0.1355;0.013435029;41.45666667;0.773067483;0.082;0.007211103
T2-N1A41;146.1;253.052623;0.011666667;0.00450925;0.1135;0.010606602;88.53333333;1.891198914;0.022;0.00781025
T2-N1A42;155.5333333;269.3916356;0.011;0.008544004;0.124;0.007071068;4.49;0.080168572;0.010666667;0.004725816
T2-N2CA11;145.9;252.7062128;0.011;0.003464102;0.114;0.008485281;20.28333333;0.282193787;0.021333333;0.00305505
T2-N2CA12;149.4;258.7683907;0.005;0.004358899;0.112;0.009899495;20;0.368646172;0.021;0.003605551
T2-N2CA21;135.6;234.8660895;0.011333333;0.001527525;0.1065;0.013435029;100.8766667;1.175854299;0.168333333;0.003511885
T2-N2CA22;138.2666667;239.4848917;0.011333333;0.00450925;0.1135;0.012020815;101.7;1.216552506;0.169666667;0.007371115
T2-N3C1A1;146.7;254.0918535;0.020333333;0.010969655;0.071;0.022627417;443.7;6.16116872;0.074333333;0.004163332
T2-N3C2A1;187.0666667;324.0089711;0.009333333;0.004932883;0.079;0.008485281;5.897;0.097139076;0.005;0.008660254
T2-P1A31;190.3666667;329.7247387;2.668;2.337214582;0.116;0.164048773;21010;5080.147636;6.141333333;0.100599867
T2-P1A32;171.0666667;296.2961581;2.395333333;2.091024948;0.1115;0.157684812;19580;4811.434298;5.535;0.107177423
T2-P1A41;174.2666667;301.8387207;2.784;2.423532133;0.0945;0.133643182;19716.66667;4575.263198;6.401666667;0.060475891
T2-P1A42;177.2;306.9194031;2.845;2.474976566;0.098;0.138592929;20096.66667;4791.683768;6.506666667;0.082379204
T2-P2A11;166.3666667;288.1555194;0.461666667;0.407067971;0.067;0.094752309;15360;2537.144064;0.298;0.039281039
T2-P2A12;165.0333333;285.8461183;0.460666667;0.409645375;0.0675;0.095459415;15523.33333;2520.760467;0.289333333;0.053715299
T2-P2A21;305.8666667;529.776607;1.108;0.971055611;0.556;0.386080303;18536.66667;3988.161648;4.239;0.066775744
T2-P2A22;293.9666667;509.1652024;1.062333333;0.929932435;0.5435;0.385373196;18726.66667;4000.504135;4.107333333;0.056083271
T4-41A1;333.45;289.2094526;10.87166667;6.079083675;0.3775;0.251022907;10288.33333;228.6008166;416.7666667;4.00666112
T2-1B;6.346393035;5.497277421;0.024051617;0.02086324;0.336893657;0.008904796;438.8992537;46.65400959;0.807991294;0.00343802
T2-L1B1(1);22.30347349;19.31656905;0.013878732;0.01216807;0.286745887;0.001874415;70.06398537;0.5560112;0.517976843;0.000951401
T2-L1B1(2);27.50666667;23.82289095;0.013893333;0.012390728;0.30314;0.001838478;70.56;0.615792173;0.544133333;0.002343786
T2-L1B1(3);12.52457551;10.84729656;0.012347334;0.010810118;0.153462913;0.001548178;83.66100685;1.445356395;0.474084004;0.000773928
T2-L1P1B3(1);43.67216117;37.90647686;0.011657509;0.010132721;0.078722527;0.001612359;99.91758242;0.18014941;0.376465201;0.00041965
T2-L1P1B3(2);46.18454662;40.00015177;0.016299489;0.014212146;0.132279693;0.003521988;196.8550447;1.389989435;0.45135696;0.003854199
T2-L1P1B3(3);47.26775956;40.93854763;0.015724044;0.013663982;0.11954918;0.003187776;191.8032787;3.326495719;0.419125683;0.002021673
T2-L1P1B4(1);89.95049505;78.09473019;0.017887789;0.01554466;0.130792079;0.002380359;139.0924092;1.113953058;0.859075908;0.002000719
T2-L1P1B4(2);46.63817664;40.39258126;0.017079772;0.014873534;0.120940171;0.003565752;199.2735043;3.336892687;0.344059829;0.000982906
T2-L1P1B4(3);81.46272855;70.73025537;0.019296765;0.016769396;0.125696203;0.002804559;137.5668073;0.537595355;0.560196906;0.001218039
