Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 472.215
T2-6B1;100.5;;;;19.36;19.65;19.4;35.72;35.7;0.0082;0.047;0.0517;0.0604;0.0696;0.81;0.8218;812;834.6;10.74;10.94;0.3708;0.3777;0.3787;0.3787;1.315;1.265;1.223;1.258;1.261;0.0639;1.637;130.0666667;143.4;125.1;121.7;0.9619;0.9575;0.9618;14.22;14.57;14.8;14.78;0.073;0.0591;0.06605;0.06605
T2-6B2;94.5;;;;20.02;20.32;20.08;37.7;37.56;0.008;0.0462;0.0548;0.0676;0.0728;0.8223;0.8334;866.5;863;10.99;11.16;0.4008;0.4091;0.4095;0.4095;1.37;1.319;1.276;1.3;1.313;0.0696;1.676;136.0666667;150.9;130.6;126.7;0.8958;0.8889;0.8901;10.88;11.17;11.34;11.24;0.0607;0.046;0.05335;0.05335
T2-L6B1;100.6;;;;9.943;10.01;10.12;56.5;56.15;0.0027;0.0106;0.0404;0.0388;0.0405;0.3959;0.3904;190.2;193.4;7.294;7.256;0.282;0.2859;0.2869;0.2869;0.8748;0.8684;0.8424;0.8669;0.8662;0.0455;0.3958;402.0333333;432.7;389.4;384;0.9809;0.9834;0.9947;10.7;11.01;11.14;11.14;0.0372;0.0331;0.03515;0.03515
T2-L6B2;142.8;;;;7.079;6.724;7.015;45.4;44.87;0.0014;0.0069;0.0347;0.0352;0.0318;0.2885;0.2877;133.7;145;5.204;4.516;0.2065;0.2142;0.212;0.212;0.7368;0.7612;0.7021;0.7593;0.7634;0.0515;0.258;345.3666667;371.3;338.2;326.6;1.247;1.17;1.179;2.755;2.83;2.844;2.782;0.0394;0.0423;0.04085;0.04085
T2-F6B1;108.7;;;;9.101;8.966;9.074;373.1;381.2;0.0038;0.0156;0.0183;0.0203;0.0209;0.0477;0.0591;311.5;303.5;3.989;3.369;0.1411;0.1425;0.1444;0.1444;0.2963;0.2925;0.2665;0.2801;0.2685;0.0472;0.6029;473.4333333;516.4;458.6;445.3;0.8385;0.7974;0.8089;9.847;10.15;10.32;10.2;0.0513;0.0595;0.0554;0.0554
T2-F6B2;108.3;;;;7.469;7.449;7.545;318.1;323.5;0.0024;0.0127;0.0171;0.0177;0.0172;0.0492;0.0576;226.3;220.7;3.165;3.086;0.1211;0.1217;0.1237;0.1237;0.1893;0.1741;0.1678;0.1785;0.1714;0.0247;0.4519;346.9666667;382.9;332.5;325.5;0.9762;0.9647;0.9698;6.63;6.774;6.856;6.755;0.0283;0.0266;0.02745;0.02745
T2-P6B1;108.3;;;;7.337;7.381;7.469;315.5;320.1;0.0028;0.0141;0.034;0.0338;0.0347;0.2384;0.2432;237.4;244.2;4.774;4.886;0.1627;0.1651;0.1659;0.1659;0.9365;0.9292;0.8989;0.9255;0.9202;0.0205;0.4903;389.5666667;429.3;373.5;365.9;0.9516;0.9494;0.9534;10.77;11.07;11.2;11.17;0.0383;0.0349;0.0366;0.0366
T2-P6B2;102.5;;;;6.778;6.889;6.895;268.4;253.4;0.0034;0.0133;0.0354;0.038;0.0349;0.2245;0.2284;227;229.7;4.712;4.784;0.1577;0.1602;0.1607;0.1607;1.013;1.004;0.9717;0.9866;0.9926;0.0184;0.4658;350.5;388.3;335.3;327.9;0.9839;0.979;0.9828;7.733;7.94;7.985;7.925;0.0439;0.0406;0.04225;0.04225
T2-N6B1;104.1;;;;5.146;5.196;5.212;347.5;353.9;0.0023;0.0118;0.0158;0.0166;0.017;0.0304;0.0385;218.3;223;5.441;5.608;0.1707;0.1726;0.1726;0.1726;0.2067;0.1925;0.1826;0.1983;0.1885;0.0121;0.4251;310.3;348.7;294.9;287.3;0.9583;0.9579;0.9613;9.142;9.42;9.481;9.434;0.0277;0.026;0.02685;0.02685
T2-N6B2;95.5;;;;4.851;4.888;4.908;348;353.9;0.003;0.0127;0.0208;0.018;0.0181;0.0276;0.0364;230.6;234.7;4.56;4.701;0.1673;0.1693;0.1695;0.1695;0.1907;0.176;0.168;0.1847;0.1736;0.0155;0.4487;318.6333333;359.7;303.1;293.1;0.8806;0.8893;0.8887;9.59;9.859;9.923;9.904;0.0367;0.0352;0.03595;0.03595
T2-F6D22;102;22.488;;;8.537;8.408;8.535;347.3;354.6;0.0036;0.0112;0.0936;0.0963;0.0895;0.8286;0.8151;218.8;220.4;2.411;2.018;0.1055;0.1061;0.1084;0.1084;4.26;4.315;4.125;4.168;4.209;0.0308;0.397;472.9666667;523.1;455.5;440.3;0.9295;0.9181;0.9257;11.18;11.5;11.56;11.52;0.0867;0.0827;0.0847;0.0847
T2-F6D12;97.3;37.742;;;4.713;4.579;4.654;248.7;234.5;0.0023;0.0078;0.055;0.0551;0.0529;0.5355;0.5268;148.2;144;1.763;1.458;0.0819;0.0817;0.0815;0.0815;1.995;1.927;1.93;1.934;1.941;0.0196;0.2661;308.1;348.2;291.5;284.6;0.9788;0.9481;0.9534;7.348;7.473;7.537;7.346;0.0485;0.0472;0.04785;0.04785
T2-F6D11;101.6;35.63;;;4.372;4.205;4.291;227.9;205.9;0.0015;0.0079;0.0285;0.0299;0.0288;0.1659;0.1662;150.1;131;2.171;1.706;0.0684;0.0681;0.0775;0.0775;0.7504;0.7254;0.7286;0.6773;0.6725;0.0396;0.2599;286.3333333;328.5;260.2;270.3;0.9326;0.9594;0.9732;6.102;6.195;6.353;6.095;0.0394;0.0444;0.0419;0.0419
T2-F6D21;95.8;13.472;;;7.855;7.708;7.829;312.5;302.4;0.0029;0.0114;0.0795;0.0809;0.0751;0.5358;0.5341;214.9;215.5;2.634;2.202;0.1065;0.1063;0.1101;0.1101;2.278;2.283;2.2;2.23;2.225;0.0321;0.4035;404.8666667;453.1;389.5;372;0.9412;0.9173;0.9295;8.327;8.546;8.623;8.562;0.0682;0.0691;0.06865;0.06865
T2-N6A1;;;10;;0.0777;0.0897;0.0847;62.79;62.67;0.0002;0.0005;0.0008;0;0.0008;0.0025;0.0032;6.513;6.589;6.928;6.783;0.0082;0.008;0.0082;0.0082;0.0056;0.0051;0.0043;0.0045;0.0047;0;0.0074;79.71;92.19;74.84;72.1;1.042;1.031;1.038;0.1283;0.1324;0.1325;0.1272;0.0085;0.0091;0.0088;0.0088
T2-N6A2;;;10;;0.0466;0.0595;0.0504;54.79;54.66;0.0003;0.0012;0.0021;0.0002;0.0011;0.0006;0.0023;20.27;20.41;59.05;55.2;0.6639;0.6837;0.6695;0.6695;0.0044;0.0027;0.0024;0.0009;0.0025;0;0.0387;167.7666667;191.8;159.1;152.4;1.019;1.005;1.013;0.3395;0.3438;0.3515;0.3401;0.0073;0.0082;0.00775;0.00775
T2-6A1;;;10;;32.82;33.38;32.85;49.05;48.96;0.0134;0.0697;1.686;1.684;1.666;0.0112;0.0448;1345;1291;119.4;104;5.576;5.665;5.667;5.667;47.27;47.84;46.58;46.69;47.18;0.0491;2.276;1011.966667;1066;983.7;986.2;0.9399;0.9332;0.939;7.343;7.504;7.756;7.443;0.9118;0.9282;0.92;0.92
T2-6A2;;;10;;32.93;33.47;32.96;49.01;48.99;0.0135;0.0694;1.687;1.682;1.663;0.0088;0.0412;1337;1292;120.2;103.7;5.603;5.669;5.677;5.677;47.29;47.43;46.62;46.82;47.23;0.0474;2.28;1011.466667;1066;982.7;985.7;0.9437;0.9364;0.9422;7.332;7.469;7.81;7.42;0.9117;0.9268;0.91925;0.91925
T2-P6A1;;;10;;1.558;1.84;1.63;59.7;59.64;0.0352;0.2251;0.3313;0.3762;0.4675;0;0.0249;2995;2795;126.3;113.8;4.214;4.302;4.298;4.298;1.338;1.016;0.9808;0.9672;1.002;0.1353;7.136;2050.666667;1904;1994;2254;0.9228;0.9173;0.9244;7.585;7.659;9.021;7.576;0.3363;0.3101;0.3232;0.3232
T2-P6A2;;;10;;0.4606;0.8538;0.5211;62.9;62.89;0.0556;0.3452;0.3913;0.4404;0.6052;0;0.0114;3724;3137;129;119.7;4.558;4.677;4.639;4.639;1.174;0.6797;0.6563;0.6383;0.6643;0.1976;10.77;2633.333333;2239;2542;3119;0.8775;0.8701;0.8796;7.379;7.388;9.525;7.229;0.4084;0.3584;0.3834;0.3834
T2-L6A1;;;10;;255.9;262.9;240.6;66.43;66.59;0.1126;0.7963;1.303;1.333;1.794;9.348;9.704;4015;3720;170;163.3;7.45;7.499;7.519;7.519;38.35;37.72;36.82;36.82;37.44;0.57;21.46;6258.333333;3390;4835;10550;0.7501;0.7618;0.7619;7.706;7.234;12.3;7.173;1.058;0.8728;0.9654;0.9654
T2-L6A2;;;10;;226.2;232.1;212.7;82.49;82.7;0.099;0.6636;1.324;1.364;1.745;8.158;8.388;3966;3674;161.9;155.3;7.162;7.232;7.216;7.216;38.74;38.33;37.27;37.4;38.27;0.4773;19.34;5875.333333;3295;4641;9690;0.7668;0.7789;0.7801;10.25;10.05;13.81;9.901;1.025;0.8711;0.94805;0.94805
T2-F6A1;;;10;;2.142;2.321;2.218;56.27;56.1;0.0204;0.1294;0.1508;0.1877;0.2288;0;0.0019;2446;2371;80.04;76.1;2.61;2.678;2.656;2.656;1.625;1.444;1.387;1.386;1.428;0.0813;4.474;1427.666667;1458;1389;1436;0.9259;0.9288;0.9356;8.597;8.789;9.327;8.684;0.2204;0.2046;0.2125;0.2125
T2-F6A2;;;10;;0.1719;0.3811;0.2004;58.79;58.58;0.0279;0.1799;0.1808;0.2272;0.2964;0;0.0022;2869;2690;78.08;78.3;2.656;2.744;2.71;2.71;1.491;1.232;1.18;1.163;1.214;0.1163;5.919;1781.666667;1741;1731;1873;0.9205;0.9217;0.9287;4.383;4.376;5.235;4.28;0.2376;0.2106;0.2241;0.2241
T2-F6Z2;;;10;;0.109;0.2905;0.1326;46.42;46.1;0.0238;0.1513;0.157;0.1989;0.2533;0;0.0061;2652;2503;64.99;65.33;2.215;2.284;2.256;2.256;1.614;1.41;1.342;1.328;1.38;0.0999;5.035;1576.666667;1580;1534;1616;0.941;0.9421;0.95;1.061;0.8235;1.634;0.8231;0.1633;0.1353;0.1493;0.1493
T2-7A1;;;10;;34.88;35.96;35.25;47.81;47.35;0.0128;0.0656;1.695;1.695;1.674;0.006;0.0366;1340;1290;122.6;105.1;5.603;5.706;5.663;5.663;47.71;48.17;46.85;46.93;47.72;0.0466;2.24;1030.5;1098;998.7;994.8;0.9611;0.9624;0.9678;11.98;12.25;12.52;12.24;0.9153;0.9335;0.9244;0.9244
T2-7A2;;;10;;34.64;35.69;35.14;46.84;46.62;0.0126;0.065;1.685;1.683;1.663;0.0048;0.0345;1315;1278;121.7;104.5;5.55;5.654;5.614;5.614;47.48;47.82;46.49;46.71;47.56;0.0444;2.207;1026.3;1094;994.1;990.8;0.9745;0.9722;0.9777;11.06;11.32;11.61;11.28;0.911;0.9277;0.91935;0.91935
T2-P7A1;;;10;;1.79;2.156;1.885;60.63;60.26;0.044;0.2895;0.5887;0.6415;0.7678;0;0.0123;3518;3025;129.9;119.1;4.498;4.613;4.557;4.557;4.787;4.407;4.233;4.235;4.358;0.1767;9.031;2457;2169;2375;2827;0.8817;0.8831;0.8909;7.707;7.725;9.279;7.532;0.52;0.4825;0.50125;0.50125
T2-P7A2;;;10;;7.541;8.032;7.866;62.08;61.93;0.0464;0.3018;0.6336;0.6843;0.8271;0;0.0178;3442;3065;133.1;121.9;4.598;4.734;4.66;4.66;8.684;8.361;8.012;7.986;8.208;0.193;9.73;2544;2216;2453;2963;0.873;0.8795;0.8869;12.74;12.86;14.33;12.62;0.5656;0.5278;0.5467;0.5467
T2-F7Z1;;;10;;2.474;2.718;2.577;58.69;58.34;0.0276;0.1797;0.3575;0.3966;0.4574;0;0.0064;2818;2636;85.18;79.23;2.865;2.942;2.911;2.911;6.529;6.369;6.109;6.094;6.269;0.1149;5.965;1771.333333;1739;1720;1855;0.931;0.9299;0.9378;3.046;2.953;3.862;2.885;0.3471;0.3255;0.3363;0.3363
T2-F7Z2;;;10;;6.728;7.167;7.023;80.01;79.48;0.0342;0.2196;0.4627;0.5059;0.5953;0;0.0405;3199;2825;100.8;93.61;3.404;3.507;3.459;3.459;9.695;9.61;9.12;9.131;9.394;0.1418;7.249;2077;1961;2011;2259;0.9113;0.9081;0.9171;5.474;5.493;6.634;5.405;0.4805;0.4536;0.46705;0.46705
T2-L7A1;;;10;;246.4;255.6;233.6;81.26;81.3;0.1079;0.7192;1.296;1.324;1.766;8.701;8.979;3673;3565;166.1;157.3;7.351;7.45;7.43;7.43;38.41;37.97;36.77;36.7;37.73;0.5419;19.73;6080;3332;4678;10230;0.7822;0.7991;0.8006;7;6.574;10.22;6.5;1.039;0.869;0.954;0.954
T2-L7A2;;;10;;258.9;269.9;245.7;72;71.87;0.101;0.7309;1.282;1.298;1.793;9.252;9.552;3664;3583;170.6;161.4;7.461;7.597;7.554;7.554;38.04;37.8;36.33;36.18;37.49;0.5424;20.3;6032.333333;3320;4617;10160;0.782;0.7991;0.8021;7.605;7.15;10.95;6.989;1.048;0.8698;0.9589;0.9589
T2-N7A1;;;10;;0.0626;0.0722;0.0649;54.8;54.41;0.0003;0.0011;0.0018;0.0004;0.0025;0.0005;0.0021;17.55;17.6;62.45;58.07;0.4402;0.4573;0.4455;0.4455;0.0126;0.0117;0.0102;0.0103;0.0113;0;0.0367;176.3666667;205.5;165.8;157.8;1.01;1.009;1.014;0.3346;0.3394;0.3488;0.3326;0.0049;0.0057;0.0053;0.0053
T2-N7A2;;;10;;0.0471;0.0558;0.0489;48.47;48.28;0.0002;0.0008;0.0021;0.0003;0.0016;0.0035;0.0049;12.84;12.91;65.72;61.87;0.4254;0.4406;0.4274;0.4274;0.0198;0.0186;0.0175;0.0181;0.0184;0;0.0286;172.4;200.9;162;154.3;1.01;1.001;1.006;0.1815;0.1791;0.1953;0.1833;0.0147;0.016;0.01535;0.01535
T2-N7G1;;;10;;0.3818;0.3927;0.386;61.36;61.18;0.0007;0.0026;0.0054;0.0038;0.0041;0.0315;0.0339;44.11;44.56;54.98;52.44;0.3994;0.4125;0.4038;0.4038;0.0691;0.0658;0.0629;0.0631;0.0649;0.0012;0.0824;187.7333333;218.5;176.5;168.2;0.998;0.9962;1.001;0.5078;0.5184;0.5286;0.5073;0.0824;0.0857;0.08405;0.08405
T2-N7G2;;;10;;0.0557;0.0661;0.0581;43.37;43.21;0.0002;0.0009;0.0021;0.0005;0.0018;0.004;0.0057;15.58;15.59;55.35;52.18;0.4019;0.4144;0.4055;0.4055;0.0225;0.0204;0.0194;0.0201;0.021;0;0.0268;152.4333333;177.9;143;136.4;1.023;1.018;1.024;0.2477;0.2489;0.2564;0.2452;0.0216;0.0229;0.02225;0.02225
T2-F7A1;;;10;;6.744;7.234;7.067;66.57;66.4;0.0348;0.2303;0.4491;0.4985;0.595;0;0.0113;3443;2794;108.2;101;3.727;3.862;3.781;3.781;6.729;6.527;6.205;6.196;6.427;0.1484;7.157;2148;1994;2080;2370;0.9025;0.9059;0.9153;15.06;15.28;16.49;15.34;0.4584;0.4295;0.44395;0.44395
T2-F7A2;;;10;;11.61;12.21;12.12;64.29;64.04;0.0407;0.261;0.5405;0.5831;0.698;0;0.0107;3525;2942;115.1;108;4.017;4.138;4.076;4.076;10.34;10.18;9.702;9.756;10;0.1594;8.159;2330.666667;2112;2254;2626;0.8869;0.8912;0.8983;19.79;20.13;21.61;20.42;0.5146;0.4802;0.4974;0.4974
T2-L7A1;;;10;;241.4;251.7;228.8;78.92;79.76;0.1084;0.7471;1.276;1.29;1.734;8.547;8.806;3898;3446;162.7;153.6;7.182;7.242;7.265;7.265;37.78;36.85;36.26;36.28;36.85;0.5244;20.67;6060.333333;3352;4669;10160;0.7964;0.8079;0.8091;6.712;6.303;10.97;6.199;1.018;0.8477;0.93285;0.93285
T2-L7A2;;;10;;258.1;268.5;244.6;71.34;71.7;0.1091;0.7533;1.278;1.297;1.777;9.246;9.483;3781;3544;169.5;159.7;7.413;7.518;7.498;7.498;37.89;37.18;36.29;36.34;37.14;0.5389;21.37;6035.666667;3316;4631;10160;0.7913;0.8039;0.8055;7.486;7.041;11.64;6.957;1.04;0.8601;0.95005;0.95005
T2-N7E22;99.3;88.414;;;4.916;4.962;4.962;317.2;305.9;0.0026;0.0032;0.0216;0.0243;0.0229;0.045;0.0524;218.7;219.6;3.708;3.835;0.1638;0.1657;0.1631;0.1642;0.4863;0.4787;0.4648;0.4717;0.4719;0.0161;0.0113;263;263;264.8;261.2;0.9709;0.9657;0.9665;9.366;9.66;9.666;9.564;0.0553;0.0532;0.0683;0.058933333
T2-N7E11;100.3;76.136;;;4.815;4.871;4.871;332.1;323.7;0.0029;0.0028;0.0215;0.0237;0.0208;0.0273;0.0355;222.3;222.8;4.078;4.238;0.1666;0.1683;0.1662;0.167033333;0.3965;0.3869;0.3728;0.3803;0.381;0.0249;0.0075;276.2;276.2;278;274.4;0.9584;0.9528;0.9515;8.5;8.76;8.739;8.666333333;0.0489;0.0465;0.0621;0.0525
T2-N6E22;101.9;78.65;;;5.321;5.375;5.375;333.2;337.8;0.0032;0.002;0.0219;0.0204;0.0205;0.0295;0.0384;243.3;240.4;4.103;4.257;0.1706;0.1725;0.1703;0.171133333;0.1943;0.1779;0.1705;0.1864;0.1722;0.0177;0.0074;283.8;283.8;285.9;281.7;0.981;0.9673;0.9699;10.78;11.11;11.14;11.01;0.043;0.0403;0.0569;0.046733333
T2-N6E1;99.2;110.1522;;;4.982;5.043;5.043;350.9;361;0.0028;0.002;0.0171;0.0169;0.0168;0.0294;0.0378;224.9;225.2;5.504;5.789;0.1707;0.1729;0.1701;0.171233333;0.2022;0.1878;0.18;0.1895;0.184;0.0242;0.0155;289.3;289.3;291.4;287.2;0.9764;0.967;0.97;8.475;8.737;8.71;8.640666667;0.0652;0.0637;0.0778;0.0689
T2-F7D1;99.4;17.6552;;;8.207;8.299;8.299;290.8;278;0.0034;0.0049;0.0859;0.0861;0.0833;1.828;1.792;194.9;194.5;2.828;2.893;0.1037;0.1059;0.1042;0.1046;3.689;3.767;3.637;3.611;3.721;0.0221;0.0166;447.1;447.1;451.9;442.3;0.9875;0.978;0.9801;11.31;11.66;11.69;11.55333333;0.0545;0.0376;0.0692;0.053766667
T2-F7D2;97;13.9171;;;8.075;8.171;8.171;252.5;240.9;0.0046;0.0015;0.0773;0.0757;0.0757;2.102;2.058;195.1;194.5;3;3.057;0.0936;0.0956;0.0938;0.094333333;2.981;3.044;2.936;2.889;3.009;0.0212;0.0077;459.6;459.6;464.2;455;1.006;0.997;0.999;3.472;3.576;3.523;3.523666667;0.1034;0.0854;0.1109;0.0999
T2-N6E21;103.7;35.7984;;;5.396;5.443;5.443;346.4;356.8;0.0029;0.0044;0.0207;0.0217;0.022;0.032;0.0413;249.1;247.3;3.843;3.96;0.1708;0.1742;0.1709;0.171966667;0.2144;0.1963;0.1912;0.1883;0.1941;0.0262;0.0111;302.5;302.5;305.5;299.5;0.9905;0.9829;0.9846;3.546;3.649;3.595;3.596666667;0.0667;0.0643;0.0802;0.0704
T2-8A1;;;10;;33.11;32.13;32.13;45.78;45.38;0.0124;0.0008;1.617;1.619;1.623;0.0442;0.0818;1195;1191;114.2;96.22;5.325;5.45;5.41;5.395;45.63;46.17;45.23;44.55;45.83;0.0481;0.0914;910.55;910.55;917.5;903.6;1.014;1.006;1.008;7.845;8.034;7.952;7.943666667;0.9082;0.9136;1.172;0.997933333
T2-8A2;;;10;;33.89;32.82;32.82;46.29;45.84;0.0125;0.0016;1.641;1.642;1.65;0.0318;0.0693;1222;1210;115.8;96.64;5.406;5.542;5.495;5.481;46.3;46.85;45.92;45.18;46.44;0.0481;0.0978;925.9;925.9;933.6;918.2;1.022;1.007;1.01;9.004;9.22;9.172;9.132;0.9231;0.9287;1.191;1.014266667
T2-L8A1;;;10;;264.2;234.4;234.4;57.55;57.55;0.1083;0.0045;1.203;1.232;1.771;9.37;9.682;3221;3568;163.2;149.5;7.38;7.532;7.539;7.483666667;36.11;35.67;34.77;34.12;35.5;0.6123;0.6736;6851.5;6851.5;4435;9268;0.8189;0.7997;0.8133;6.147;5.701;5.655;5.834333333;1.068;0.8472;2.074;1.329733333
T2-L8A2;;;10;;288;254.2;254.2;64.85;65.09;0.1125;0.0049;1.283;1.303;1.902;10.13;10.55;3394;3515;176.4;157.9;8.08;8.276;8.206;8.187333333;38.37;37.9;36.96;36.17;37.76;0.6246;0.6924;6884.5;6884.5;4420;9349;0.8106;0.792;0.8068;6.541;6.043;6.016;6.2;1.137;0.905;2.218;1.42
T2-P8A1;;;10;;15.88;15.4;15.4;69.94;69.19;0.046;0.0017;0.6079;0.6566;0.831;0.0087;0.0205;3342;2960;134;117.7;4.785;4.976;4.876;4.879;10.31;10.18;9.628;9.389;9.912;0.2042;0.2492;2503.5;2503.5;2322;2685;0.8974;0.899;0.9069;16.13;16.48;16.39;16.33333333;0.5768;0.5272;0.9685;0.690833333
T2-P8A2;;;10;;8.352;8.225;8.225;63.76;63.31;0.0411;0.001;0.5912;0.6474;0.79;0.0083;0.0112;2924;2936;137.4;119.7;4.887;5.079;4.988;4.984666667;9.284;9.124;8.725;8.471;8.894;0.1836;0.2412;2301.5;2301.5;2173;2430;0.8996;0.9028;0.9068;14.25;14.48;14.52;14.41666667;0.5805;0.5388;0.9261;0.6818
T2-F8A2;;;10;;13.25;13.12;13.12;62.26;61.51;0.0358;0.0014;0.5185;0.5592;0.6849;0.0067;0.0081;2894;2790;121.1;107.3;4.322;4.474;4.394;4.396666667;11.08;11.16;10.57;10.35;10.88;0.1568;0.1971;2066;2066;1977;2155;0.9277;0.9268;0.9366;21.18;21.61;21.91;21.56666667;0.5244;0.488;0.8347;0.6157
T2-F8A1;;;10;;18.77;18.14;18.14;61.73;62.47;0.05;0.002;0.5271;0.583;0.7185;0.0069;0.0073;2870;2908;119.3;108.1;4.417;4.516;4.5;4.477666667;10.94;10.75;10.51;10.35;10.56;0.1789;0.2364;2336.5;2336.5;2198;2475;0.9216;0.904;0.9074;23.78;24.26;25.09;24.37666667;0.5381;0.4903;0.9277;0.652033333
T2-N8A1;;;10;;0.0872;0.0737;0.0737;49.49;49.85;0.0029;0.0023;0.0422;0.0459;0.0442;0.0012;0.0058;258.2;259.9;92.6;77.99;2.369;2.397;2.377;2.381;0.1745;0.153;0.1491;0.1466;0.15;0.0113;0.0632;358.15;358.15;361.8;354.5;1.036;1.014;1.012;0.7573;0.7633;0.7581;0.759566667;0.0183;0.0167;0.036;0.023666667
T2-N8A2;;;10;;0.0319;0.0245;0.0245;52.58;52.94;0.0003;0.0008;0.0231;0.0223;0.0228;0.0042;0.006;18.04;17.83;74;67.48;0.5146;0.5202;0.5078;0.5142;0.0253;0.0235;0.0234;0.0222;0.0238;0.0026;0.0518;178.9;178.9;180.8;177;1.051;1.026;1.032;0.2398;0.2399;0.2396;0.239766667;0.0108;0.0118;0.0125;0.0117
T2-N8G1;;;10;;0.1622;0.1513;0.1513;38.41;38.56;0.0037;0.003;0.0466;0.047;0.0475;0.0008;0.0064;244.6;245.9;70.28;64.7;1.791;1.816;1.792;1.799666667;0.3464;0.328;0.3216;0.3175;0.3256;0.0182;0.0417;309.25;309.25;313.5;305;1.053;1.036;1.034;0.5391;0.5465;0.5408;0.542133333;0.1027;0.1043;0.1187;0.108566667
T2-N8G2;;;10;;0.0275;0.0188;0.0188;48.77;48.83;0.0003;0.0011;0.0235;0.0227;0.0227;0.0074;0.0085;9.914;9.837;73.7;66.96;0.3584;0.3635;0.3536;0.3585;0.0309;0.0298;0.0288;0.0286;0.03;0.0041;0.0522;168.9;168.9;170.6;167.2;1.05;1.032;1.029;0.1351;0.132;0.1339;0.133666667;0.0327;0.0347;0.0333;0.033566667
