name;sample_mass;V (ml);pH;Eh;Объем р-ра H2SO4 (ml);Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2;Масса железных окатышей (g);Объем суспензии CaCO3;Массовая доля CaCO3;
T2-6C1;188.69;149.29;3.67;314;;;;;;;
T2-6C2;182.44;149.36;3.67;314;;;;;;;
T2-7C1;186.38;149.44;3.38;250;;;;;;;
T2-7C2;188.45;149.64;3.38;250;;;;;;;
T2-8C1;194.61;149.75;3.24;220;;;;;;;
T2-8C2;193.22;149.71;3.24;220;;;;;;;
T2-9C1;194.49;149.44;3.28;225;;;;;;;
T2-9C2;195.8;149.53;3.28;225;;;;;;;
T2-10C1;192.89;149.61;3.09;250;;;;;;;
T2-10C2;195.07;149.62;3.09;250;;;;;;;
T2-11C1;193.12;149.35;3.20;256;;;;;;;
T2-11C2;192.76;149.24;3.20;256;;;;;;;
T2-12C1;190.77;149.46;3.13;272;;;;;;;
T2-12C2;191.67;149.11;3.13;272;;;;;;;
T2-13C1;194.36;149.56;3.10;284;;;;;;;
T2-13C2;193.82;149.42;3.10;284;;;;;;;
T2-L6C1;297.25;208.29;;;59.04;;;;;;
T2-L6C2;272.6;198.36;;;49.6;;;;;;
T2-L7C1;289.42;205.44;;;55.3;;;;;;
T2-L7C2;295.17;207.64;;;58;;;;;;
T2-L8C1;319.73;217.75;;;67.29;;;;;;
T2-L8C2;314.66;215.71;;;65.27;;;;;;
T2-L9C1;321.45;218.44;;;67.56;;;;;;
T2-L9C2;324.6;219.53;;;69.41;;;;;;
T2-L10C1;312.49;214.61;;;64.92;;;;;;
T2-L10C2;320.19;217.62;;;67.33;;;;;;
T2-L11C1;320.08;218.35;;;65.62;;;;;;
T2-L11C2;314.2;215.24;;;65.25;;;;;;
T2-L12C1;304.85;211.46;;;61.93;;;;;;
T2-L12C2;309.43;213.11;;;63.81;;;;;;
T2-L13C1;319.48;217.56;;;67.17;;;;;;
T2-L13C2;317.1;216.42;;;66.57;;;;;;
T2-L6P6C1;575.24;477;4.03;;;255;0.179;7.25;;;
T2-L6P6C2;475.48;450;4.10;;;200;0.178;9.5;;;
T2-L7P7C1;529.07;420;4.20;;;215;0.176;8.25;;;
T2-L7P7C2;528.31;415;3.85;;;215;0.176;8.5;;;
T2-L8P8C1;592.12;460;3.83;;;260;0.17;8.6;;;
T2-L8P8C2;579.67;510;3.80;;;260;0.17;7.6;;;
T2-L9P9C1;577.99;470;3.86;;;260;0.2;8.3;;;
T2-L9P9C2;599.29;450;3.82;;;270;0.2;8.8;;;
T2-L10P10C1;533.4;440;3.81;;;220;0.2;10;;;
T2-L10P10C2;559.67;435;3.82;;;235;0.2;10.3;;;
T2-L11P11C1;537.7;444;3.81;;;210;0.2;10.7;;;
T2-L11P11C2;510.22;459;3.87;;;195;0.2;9.5;;;
T2-L12P12C1;533.71;459;3.90;;;220;0.2;9.75;;;
T2-L12P12C2;538.96;450;3.95;;;220;0.2;9.4;;;
T2-L13P13C1;532.72;405;4.09;;;200;0.2;13.9;;;
T2-L13P13C2;534.32;401;3.97;;;200;0.2;13.2;;;
T2-L6P6F6C1;397.05;375.5;4.32;-107;;;;;;;
T2-L6P6F6C2;404.12;382.98;4.74;-150;;;;;;;
T2-L7P7F7C1;470.12;412;4.50;-30;;;;;;;
T2-L7P7F7C2;478.98;414;4.05;72;;;;;;;
T2-L8P8F8C1;510.32;420;3.93;;;;;;;;
T2-L8P8F8C2;471.36;410;4.00;-120;;;;;;;
T2-L9P9F9C1;459.2;450;3.80;;;;;;;;
T2-L9P9F9C2;450.82;390;4.02;;;;;;;;
T2-L10P10F10C1;488.55;416;4.07;;;;;;;;
T2-L10P10F10C2;503.49;395;4.14;;;;;;;;
T2-L11P11F11C1;476.65;417;3.82;151;;;;;;;
T2-L11P11F11C2;493.3;430;3.96;150;;;;;;;
T2-L12P12F12C1;454.5;400;4.00;95;;;;;;;
T2-L12P12F12C2;472.09;350;4.17;100;;;;;;;
T2-L13P13F13C1;487.33;360;4.40;50;;;;;;;
T2-L13P13F13C2;527.52;465;4.50;80;;;;;;;
T2-L9P9F9Z1;;190;;;;;;;;;
T2-L9P9F9Z2;;146;;;;;;;;;
T2-L10P10F10Z1;;100;;;;;;;;;
T2-L10P10F10Z2;;93;;;;;;;;;
T2-L11P11F11Z1;;120;;;;;;;;;
T2-L11P11F11Z2;;102;;;;;;;;;
T2-L12P12F12Z1;;94;;;;;;;;;
T2-L12P12F12Z2;;88;;;;;;;;;
T2-L13P13F13Z1;;95;;;;;;;;;
T2-L13P13F13Z2;;82;;;;;;;;;
T2-L10P10W10С1;;470;;;;;;;;;
T2-L10P10W10С2;;425;;;;;;;;;
T2-L6P6F6N6C1;;;9.10;;;40;0.20;;35;0.20;
T2-L6P6F6N6C2;;;7.90;;;54;0.20;;30;0.20;
T2-L7P7F7N7C1;;;7.86;;;75;0.20;;35;0.20;
T2-L7P7F7N7C2;;;7.93;;;82.5;0.20;;40;0.20;
T2-L8P8F8N8C1;;;7.89;;;75;0.20;;50;0.20;
T2-L8P8F8N8C2;;;7.88;;;71;0.20;;40;0.20;
T2-L9P9F9N9C1;;;7.90;;;57.5;0.20;;40;0.20;
T2-L9P9F9N9C2;;;8.33;;;61;0.20;;45;0.20;
T2-L10P10F10N10C1;;;8.03;;;87.5;0.20;;60;0.20;
T2-L10P10F10N10C2;;;8.37;;;80;0.20;;60;0.20;
T2-L11P11F11N11C1;;;8.50;;;95;0.20;;55;0.20;
T2-L11P11F11N11C2;;;8.00;;;74;0.20;;50;0.20;
T2-L12P12F12N12C1;;;8.03;;;68;0.20;;41;0.20;
T2-L12P12F12N12C2;;;7.87;;;77;0.20;;38;0.20;
T2-L13P13F13N13C1;;;8.46;;;98;0.20;;60;0.20;
T2-L13P13F13N13C2;;;7.90;;;104;0.20;;50;0.20;
T2-L8P8F8N8G1;;150;;;;;;;;;
T2-L8P8F8N8G2;;100;;;;;;;;;
T2-L9P9F9N9G1;;120;;;;;;;;;
T2-L9P9F9N9G2;;120;;;;;;;;;
T2-L10P10F10N10G1;;140;;;;;;;;;
T2-L10P10F10N10G2;;162;;;;;;;;;
T2-L11P11F11N11G1;;149;;;;;;;;;
T2-L11P11F11N11G2;;140;;;;;;;;;
T2-L12P12F12N12G1;;100;;;;;;;;;
T2-L12P12F12N12G2;;126;;;;;;;;;
T2-L13P13F13N13G1;;106;;;;;;;;;
T2-L13P13F13N13G2;;126;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
