name;Масса навески (g);sample_mass;Разбавление;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200
T2-6B1;100,5;;;19.36 x;19.65 x;19.40 x;35.72;35.7;0.0082;0.047;0.001;0.0517;0.0604;0.05;0.0696;0.81;0.8218;812;834.6;10.74;10.94;0.3708;0.3777;0.3787;1.315;1.265;1.223;1.258;1.261;0.0639;1.637;143.4;125.1;121.7;0.9619;0.9575;0.9618;14.22 x;14.57 x;14.80 x;14.78 x;0.073;0.0591
T2-6B2;94,5;;;20.02 x;20.32 x;20.08 x;37.7;37.56;0.008;0.0462;0.0011;0.0548;0.0676;0.0554;0.0728;0.8223;0.8334;866.5;863;10.99;11.16;0.4008;0.4091;0.4095;1.37;1.319;1.276;1.3;1.313;0.0696;1.676;150.9;130.6;126.7;0.8958;0.8889;0.8901;10.88;11.17;11.34;11.24;0.0607;0.046
T2-L6B1;100,6;;;9.943;10.01;10.12;56.5;56.15;0.0027;0.0106;0.0016;0.0404;0.0388;0.0299;0.0405;0.3959;0.3904;190.2;193.4;7.294;7.256;0.282;0.2859;0.2869;0.8748;0.8684;0.8424;0.8669;0.8662;0.0455;0.3958;432.7;389.4;384;0.9809;0.9834;0.9947;10.7;11.01;11.14 x;11.14 x;0.0372;0.0331
T2-L6B2;142,8;;;7.079;6.724;7.015;45.4;44.87;0.0014;0.0069;0.0033;0.0347;0.0352;0.0261;0.0318;0.2885;0.2877;133.7;145;5.204;4.516;0.2065;0.2142;0.212;0.7368;0.7612;0.7021;0.7593;0.7634;0.0515;0.258;371.3;338.2;326.6;1.247;1.17;1.179;2.755;2.83;2.844;2.782;0.0394;0.0423
T2-F6B1;108,7;;;9.101;8.966;9.074;373.1;381.2;0.0038;0.0156;0.0043;0.0183;0.0203;0.0138;0.0209;0.0477;0.0591;311.5;303.5;3.989;3.369;0.1411;0.1425;0.1444;0.2963;0.2925;0.2665;0.2801;0.2685;0.0472;0.6029;516.4;458.6;445.3;0.8385;0.7974;0.8089;9.847;10.15;10.32;10.2;0.0513;0.0595
T2-F6B2;108,3;;;7.469;7.449;7.545;318.1;323.5;0.0024;0.0127;0.0016 uv;0.0171;0.0177;0.013;0.0172;0.0492;0.0576;226.3;220.7;3.165;3.086;0.1211;0.1217;0.1237;0.1893;0.1741;0.1678;0.1785;0.1714;0.0247;0.4519;382.9;332.5;325.5;0.9762;0.9647;0.9698;6.63;6.774;6.856;6.755;0.0283;0.0266
T2-P6B1;108,3;;;7.337;7.381;7.469;315.5;320.1;0.0028;0.0141;0.0018;0.034;0.0338;0.0269;0.0347;0.2384;0.2432;237.4;244.2;4.774;4.886;0.1627;0.1651;0.1659;0.9365;0.9292;0.8989;0.9255;0.9202;0.0205;0.4903;429.3;373.5;365.9;0.9516;0.9494;0.9534;10.77;11.07;11.2;11.17;0.0383;0.0349
T2-P6B2;102,5;;;6.778;6.889;6.895;268.4;253.4;0.0034;0.0133;0.0035;0.0354;0.038;0.0294;0.0349;0.2245;0.2284;227;229.7;4.712;4.784;0.1577;0.1602;0.1607;1.013;1.004;0.9717;0.9866;0.9926;0.0184;0.4658;388.3;335.3;327.9;0.9839;0.979;0.9828;7.733;7.94;7.985;7.925;0.0439;0.0406
T2-N6B1;104,1;;;5.146;5.196;5.212;347.5;353.9;0.0023;0.0118;;0.0158;0.0166;0.0127;0.017;0.0304;0.0385;218.3;223;5.441;5.608;0.1707;0.1726;0.1726;0.2067;0.1925;0.1826;0.1983;0.1885;0.0121;0.4251;348.7;294.9;287.3;0.9583;0.9579;0.9613;9.142;9.42;9.481;9.434;0.0277;0.026
T2-N6B2;95,5;;;4.851;4.888;4.908;348;353.9;0.003;0.0127;0.0039;0.0208;0.018;0.0149;0.0181;0.0276;0.0364;230.6;234.7;4.56;4.701;0.1673;0.1693;0.1695;0.1907;0.176;0.168;0.1847;0.1736;0.0155;0.4487;359.7;303.1;293.1;0.8806;0.8893;0.8887;9.59;9.859;9.923;9.904;0.0367;0.0352
T2-F6D22;102;22,488;;8.537;8.408;8.535;347.3;354.6;0.0036;0.0112;0.0043;0.0936;0.0963;0.0779;0.0895;0.8286;0.8151;218.8;220.4;2.411;2.018;0.1055;0.1061;0.1084;4.26;4.315;4.125;4.168;4.209;0.0308;0.397;523.1;455.5;440.3;0.9295;0.9181;0.9257;11.18;11.5;11.56;11.52;0.0867;0.0827
T2-F6D12;97,3;37,742;;4.713;4.579;4.654;248.7;234.5;0.0023;0.0078;0.0038;0.055;0.0551;0.0469;0.0529;0.5355;0.5268;148.2;144;1.763;1.458;0.0819;0.0817;0.0815;1.995;1.927;1.93;1.934;1.941;0.0196;0.2661;348.2;291.5;284.6;0.9788;0.9481;0.9534;7.348;7.473;7.537;7.346;0.0485;0.0472
T2-F6D11;101,6;35,630;;4.372;4.205;4.291;227.9;205.9;0.0015;0.0079;0.0029;0.0285;0.0299;0.0235;0.0288;0.1659;0.1662;150.1;131;2.171;1.706;0.0684;0.0681;0.0775;0.7504;0.7254;0.7286;0.6773;0.6725;0.0396;0.2599;328.5;260.2;270.3;0.9326;0.9594;0.9732;6.102;6.195;6.353;6.095;0.0394;0.0444
T2-F6D21;95,8;13,472;;7.855;7.708;7.829;312.5;302.4;0.0029;0.0114;0.0033;0.0795;0.0809;0.0671;0.0751;0.5358;0.5341;214.9;215.5;2.634;2.202;0.1065;0.1063;0.1101;2.278;2.283;2.2;2.23;2.225;0.0321;0.4035;453.1;389.5;372;0.9412;0.9173;0.9295;8.327;8.546;8.623;8.562;0.0682;0.0691
T2-N6A1;;;10;0.0777;0.0897;0.0847;62.79;62.67;0.0002;0.0005;0.0006;0.0008;-0.0006 uv;0.0002;0.0008;0.0025;0.0032;6.513;6.589;6.928;6.783;0.0082;0.008;0.0082;0.0056;0.0051;0.0043;0.0045;0.0047;-0.0019 uv;0.0074;92.19;74.84;72.1;1.042;1.031;1.038;0.1283;0.1324;0.1325;0.1272;0.0085;0.0091
T2-N6A2;;;10;0.0466;0.0595;0.0504;54.79;54.66;0.0003;0.0012;0.001;0.0021;0.0002 uv;0.0011;0.0011;0.0006;0.0023;20.27;20.41;59.05;55.2;0.6639;0.6837;0.6695;0.0044;0.0027;0.0024;0.0009 uv;0.0025;-0.0022 uv;0.0387;191.8;159.1;152.4;1.019;1.005;1.013;0.3395;0.3438;0.3515;0.3401;0.0073;0.0082
T2-6A1;;;10;32.82 x;33.38 x;32.85 x;49.05;48.96;0.0134;0.0697;0.0015;1.686;1.684;1.614;1.666;0.0112;0.0448;1345 x;1291 x;119.4 x;104.0 x;5.576;5.665;5.667;47.27;47.84;46.58;46.69;47.18;0.0491;2.276;1066;983.7;986.2;0.9399;0.9332;0.939;7.343;7.504;7.756;7.443;0.9118;0.9282
T2-6A2;;;10;32.93 x;33.47 x;32.96 x;49.01;48.99;0.0135;0.0694;0.0011 uv;1.687;1.682;1.62;1.663;0.0088;0.0412;1337 x;1292 x;120.2 x;103.7 x;5.603;5.669;5.677;47.29;47.43;46.62;46.82;47.23;0.0474;2.28;1066;982.7;985.7;0.9437;0.9364;0.9422;7.332;7.469;7.81;7.42;0.9117;0.9268
T2-P6A1;;;10;1.558;1.84;1.63;59.7;59.64;0.0352;0.2251;0.0002 uv;0.3313;0.3762;0.4032;0.4675;-0.0052 uv;0.0249;2995 ox;2795 ox;126.3 x;113.8 x;4.214;4.302;4.298;1.338;1.016;0.9808;0.9672;1.002;0.1353;7.136;1904 x;1994 x;2254 x;0.9228;0.9173;0.9244;7.585;7.659;9.021;7.576;0.3363;0.3101
T2-P6A2;;;10;0.4606;0.8538;0.5211;62.9;62.89;0.0556;0.3452;-0.0001 uv;0.3913;0.4404;0.5356;0.6052;-0.0072 uv;0.0114;3724 ox;3137 ox;129.0 x;119.7 x;4.558;4.677;4.639;1.174;0.6797;0.6563;0.6383;0.6643;0.1976;10.77;2239 x;2542 x;3119 x;0.8775;0.8701;0.8796;7.379;7.388;9.525;7.229;0.4084;0.3584
T2-L6A1;;;10;255.9 x;262.9 x;240.6 x;66.43;66.59;0.1126;0.7963;0.0015 uv;1.303;1.333;1.322;1.794;9.348;9.704;4015 ox;3720 ox;170.0 x;163.3 x;7.45;7.499;7.519;38.35;37.72;36.82;36.82;37.44;0.57;21.46 x;3390 x;4835 x;10550 x;0.7501;0.7618;0.7619;7.706;7.234;12.3;7.173;1.058;0.8728
T2-L6A2;;;10;226.2 x;232.1 x;212.7 x;82.49;82.7;0.099;0.6636;0.003;1.324;1.364;1.294;1.745;8.158;8.388;3966 ox;3674 ox;161.9 x;155.3 x;7.162;7.232;7.216;38.74;38.33;37.27;37.4;38.27;0.4773;19.34 x;3295 x;4641 x;9690 x;0.7668;0.7789;0.7801;10.25;10.05;13.81;9.901;1.025;0.8711
T2-F6A1;;;10;2.142;2.321;2.218;56.27;56.1;0.0204;0.1294;0.0002 uv;0.1508;0.1877;0.1928;0.2288;-0.0048 uv;0.0019;2446 x;2371 ox;80.04;76.1;2.61;2.678;2.656;1.625;1.444;1.387;1.386;1.428;0.0813;4.474;1458 x;1389 x;1436 x;0.9259;0.9288;0.9356;8.597;8.789;9.327;8.684;0.2204;0.2046
T2-F6A2;;;10;0.1719;0.3811;0.2004;58.79;58.58;0.0279;0.1799;0.0002 uv;0.1808;0.2272;0.2433;0.2964;-0.0053 uv;0.0022;2869 ox;2690 ox;78.08;78.3;2.656;2.744;2.71;1.491;1.232;1.18;1.163;1.214;0.1163;5.919;1741 x;1731 x;1873 x;0.9205;0.9217;0.9287;4.383;4.376;5.235;4.28;0.2376;0.2106
T2-F6Z2;;;10;0.109;0.2905;0.1326;46.42;46.1;0.0238;0.1513;0.0011;0.157;0.1989;0.2059;0.2533;-0.0047 uv;0.0061;2652 x;2503 ox;64.99;65.33;2.215;2.284;2.256;1.614;1.41;1.342;1.328;1.38;0.0999;5.035;1580 x;1534 x;1616 x;0.941;0.9421;0.95;1.061;0.8235;1.634;0.8231;0.1633;0.1353
T2-7A1;;;10;34.88 x;35.96 x;35.25 x;47.81;47.35;0.0128;0.0656;0.0007 uv;1.695;1.695;1.628;1.674;0.006;0.0366;1340 x;1290 x;122.6 x;105.1 x;5.603;5.706;5.663;47.71;48.17;46.85;46.93;47.72;0.0466;2.24;1098;998.7;994.8;0.9611;0.9624;0.9678;11.98 x;12.25 x;12.52 x;12.24 x;0.9153;0.9335
T2-7A2;;;10;34.64 x;35.69 x;35.14 x;46.84;46.62;0.0126;0.065;0.0016;1.685;1.683;1.622;1.663;0.0048;0.0345;1315 x;1278 x;121.7 x;104.5 x;5.55;5.654;5.614;47.48;47.82;46.49;46.71;47.56;0.0444;2.207;1094;994.1;990.8;0.9745;0.9722;0.9777;11.06;11.32 x;11.61 x;11.28 x;0.911;0.9277
T2-P7A1;;;10;1.79;2.156;1.885;60.63;60.26;0.044;0.2895;0.0024;0.5887;0.6415;0.6696;0.7678;-0.0067 uv;0.0123;3518 ox;3025 ox;129.9 x;119.1 x;4.498;4.613;4.557;4.787;4.407;4.233;4.235;4.358;0.1767;9.031;2169 x;2375 x;2827 x;0.8817;0.8831;0.8909;7.707;7.725;9.279;7.532;0.52;0.4825
T2-P7A2;;;10;7.541;8.032;7.866;62.08;61.93;0.0464;0.3018;0.0011 uv;0.6336;0.6843;0.7388;0.8271;-0.0078 uv;0.0178;3442 ox;3065 ox;133.1 x;121.9 x;4.598;4.734;4.66;8.684;8.361;8.012;7.986;8.208;0.193;9.73;2216 x;2453 x;2963 x;0.873;0.8795;0.8869;12.74 x;12.86 x;14.33 x;12.62 x;0.5656;0.5278
T2-F7Z1;;;10;2.474;2.718;2.577;58.69;58.34;0.0276;0.1797;-0.0002 uv;0.3575;0.3966;0.4001;0.4574;-0.0050 uv;0.0064;2818 ox;2636 ox;85.18;79.23;2.865;2.942;2.911;6.529;6.369;6.109;6.094;6.269;0.1149;5.965;1739 x;1720 x;1855 x;0.931;0.9299;0.9378;3.046;2.953;3.862;2.885;0.3471;0.3255
T2-F7Z2;;;10;6.728;7.167;7.023;80.01;79.48;0.0342;0.2196;0.0005 uv;0.4627;0.5059;0.5164;0.5953;-0.0026 uv;0.0405;3199 ox;2825 ox;100.8 x;93.61;3.404;3.507;3.459;9.695;9.61;9.12;9.131;9.394;0.1418;7.249;1961 x;2011 x;2259 x;0.9113;0.9081;0.9171;5.474;5.493;6.634;5.405;0.4805;0.4536
T2-L7A1;;;10;246.4 x;255.6 x;233.6 x;81.26;81.3;0.1079;0.7192;0.0017;1.296;1.324;1.318;1.766;8.701;8.979;3673 ox;3565 ox;166.1 x;157.3 x;7.351;7.45;7.43;38.41;37.97;36.77;36.7;37.73;0.5419;19.73 x;3332 x;4678 x;10230 x;0.7822;0.7991;0.8006;7;6.574;10.22;6.5;1.039;0.869
T2-L7A2;;;10;258.9 x;269.9 x;245.7 x;72;71.87;0.101;0.7309;0.0038;1.282;1.298;1.286;1.793;9.252;9.552;3664 ox;3583 ox;170.6 x;161.4 x;7.461;7.597;7.554;38.04;37.8;36.33;36.18;37.49;0.5424;20.30 x;3320 x;4617 x;10160 x;0.782;0.7991;0.8021;7.605;7.15;10.95;6.989;1.048;0.8698
T2-N7A1;;;10;0.0626;0.0722;0.0649;54.8;54.41;0.0003;0.0011;0.0006;0.0018;0.0004 uv;0.002;0.0025;0.0005;0.0021;17.55;17.6;62.45;58.07;0.4402;0.4573;0.4455;0.0126;0.0117;0.0102;0.0103;0.0113;-0.0007 uv;0.0367;205.5;165.8;157.8;1.01;1.009;1.014;0.3346;0.3394;0.3488;0.3326;0.0049;0.0057
T2-N7A2;;;10;0.0471;0.0558;0.0489;48.47;48.28;0.0002;0.0008;0.0008;0.0021;0.0003;0.0014;0.0016;0.0035;0.0049;12.84;12.91;65.72;61.87;0.4254;0.4406;0.4274;0.0198;0.0186;0.0175;0.0181;0.0184;-0.0001 uv;0.0286;200.9;162;154.3;1.01;1.001;1.006;0.1815;0.1791;0.1953;0.1833;0.0147;0.016
T2-N7G1;;;10;0.3818;0.3927;0.386;61.36;61.18;0.0007;0.0026;0.0008;0.0054;0.0038;0.0053;0.0041;0.0315;0.0339;44.11;44.56;54.98;52.44;0.3994;0.4125;0.4038;0.0691;0.0658;0.0629;0.0631;0.0649;0.0012 uv;0.0824;218.5;176.5;168.2;0.998;0.9962;1.001;0.5078;0.5184;0.5286;0.5073;0.0824;0.0857
T2-N7G2;;;10;0.0557;0.0661;0.0581;43.37;43.21;0.0002;0.0009;0.0008;0.0021;0.0005 uv;0.0022;0.0018;0.004;0.0057;15.58;15.59;55.35;52.18;0.4019;0.4144;0.4055;0.0225;0.0204;0.0194;0.0201;0.021;-0.0023 uv;0.0268;177.9;143;136.4;1.023;1.018;1.024;0.2477;0.2489;0.2564;0.2452;0.0216;0.0229
T2-F7A1;;;10;6.744;7.234;7.067;66.57;66.4;0.0348;0.2303;0.0013;0.4491;0.4985;0.5141;0.595;-0.0065 uv;0.0113;3443 ox;2794 ox;108.2 x;101.0 x;3.727;3.862;3.781;6.729;6.527;6.205;6.196;6.427;0.1484;7.157;1994 x;2080 x;2370 x;0.9025;0.9059;0.9153;15.06 x;15.28 x;16.49 x;15.34 x;0.4584;0.4295
T2-F7A2;;;10;11.61;12.21;12.12;64.29;64.04;0.0407;0.261;-0.0005 uv;0.5405;0.5831;0.5999;0.698;-0.0063 uv;0.0107;3525 ox;2942 ox;115.1 x;108.0 x;4.017;4.138;4.076;10.34;10.18;9.702;9.756;10;0.1594;8.159;2112 x;2254 x;2626 x;0.8869;0.8912;0.8983;19.79 x;20.13 x;21.61 x;20.42 x;0.5146;0.4802
T2-L7A1;;;10;241.4 x;251.7 x;228.8 x;78.92;79.76;0.1084;0.7471;0.0059;1.276;1.29;1.284;1.734;8.547;8.806;3898 ox;3446 ox;162.7 x;153.6 x;7.182;7.242;7.265;37.78;36.85;36.26;36.28;36.85;0.5244;20.67 x;3352 x;4669 x;10160 x;0.7964;0.8079;0.8091;6.712;6.303;10.97;6.199;1.018;0.8477
T2-L7A2;;;10;258.1 x;268.5 x;244.6 x;71.34;71.7;0.1091;0.7533;0.005;1.278;1.297;1.269;1.777;9.246;9.483;3781 ox;3544 ox;169.5 x;159.7 x;7.413;7.518;7.498;37.89;37.18;36.29;36.34;37.14;0.5389;21.37 x;3316 x;4631 x;10160 x;0.7913;0.8039;0.8055;7.486;7.041;11.64;6.957;1.04;0.8601
